,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
0,kavieng,PG,1588574147,84.34,-2.57,150.8,79,10.54,82
1,mataura,NZ,1588574147,41.41,-46.19,168.86,90,3.85,76
2,kaka,TM,1588574148,79.83,37.35,59.61,32,10.92,0
3,kuytun,RU,1588574148,63.63,54.34,101.5,31,13.98,82
4,bluff,NZ,1588574148,48.65,-46.6,168.33,75,14.92,71
5,hilo,US,1588573860,73.6,19.73,-155.09,69,8.05,90
6,guerrero negro,MX,1588574149,62.64,27.98,-114.06,87,16.28,16
7,hobart,AU,1588574074,57.61,-42.88,147.33,71,11.41,40
8,zhigansk,RU,1588574150,33.12,66.77,123.37,90,5.19,0
9,mayskiy,RU,1588574151,62.6,47.69,40.1,82,13.42,40
10,ostrovnoy,RU,1588574151,37.99,68.05,39.51,95,12.35,100
11,mar del plata,AR,1588574152,56.61,-38.0,-57.56,100,10.29,100
12,rikitea,PF,1588574153,73.47,-23.12,-134.97,66,12.82,99
13,ushuaia,AR,1588573906,39.2,-54.8,-68.3,69,18.34,40
14,victoria,HK,1588574111,86.25,22.29,114.16,62,18.34,20
15,sorong,ID,1588574155,85.15,-0.88,131.25,74,10.98,5
16,porto santo,PT,1588574156,64.4,33.07,-16.34,68,14.99,20
17,qaanaaq,GL,1588574156,16.59,77.48,-69.36,93,6.42,100
18,new norfolk,AU,1588574157,55.89,-42.78,147.06,81,2.48,15
19,tuktoyaktuk,CA,1588574157,12.2,69.45,-133.04,78,3.36,75
20,rio grande,BR,1588574158,48.0,-32.03,-52.1,97,6.26,0
21,okhotsk,RU,1588574159,38.68,59.38,143.3,73,12.26,100
22,namibe,AO,1588574159,81.07,-15.2,12.15,47,1.7,0
23,busselton,AU,1588574160,67.23,-33.65,115.33,65,16.89,25
24,codrington,AU,1588574160,55.71,-38.27,141.97,76,4.97,5
25,ous,RU,1588574160,47.19,60.91,61.52,48,4.65,100
26,tuatapere,NZ,1588574161,43.95,-46.13,167.68,80,5.32,34
27,jamestown,US,1588574162,48.61,42.1,-79.24,70,6.93,40
28,xining,CN,1588574162,70.07,36.62,101.77,14,7.4,0
29,port elizabeth,ZA,1588574162,60.8,-33.92,25.57,87,6.93,95
30,vaini,TO,1588574163,75.2,-21.2,-175.2,88,3.36,20
31,chernyshevskiy,RU,1588574163,44.31,63.01,112.47,50,4.59,0
32,warmbad,NA,1588574164,64.26,-28.45,18.73,30,7.52,93
33,chokurdakh,RU,1588574164,18.03,70.63,147.92,95,5.37,80
34,east london,ZA,1588573995,60.8,-33.02,27.91,87,6.93,20
35,port macquarie,AU,1588574165,63.55,-31.43,152.92,64,1.01,2
36,bambous virieux,MU,1588574165,80.78,-20.34,57.76,74,13.87,40
37,albany,US,1588574118,57.97,42.6,-73.97,38,4.7,75
38,broken hill,AU,1588574167,59.0,-31.95,141.43,47,8.05,0
39,port alfred,ZA,1588574167,61.0,-33.59,26.89,94,3.0,97
40,port-gentil,GA,1588574168,80.6,-0.72,8.78,94,2.24,40
41,entre rios,BR,1588574168,71.38,-11.94,-38.08,93,2.15,48
42,butaritari,KI,1588574168,82.67,3.07,172.79,81,10.09,95
43,nikolskoye,RU,1588574169,46.09,59.7,30.79,87,4.47,90
44,hermanus,ZA,1588574169,57.0,-34.42,19.23,81,9.44,0
45,katherine,AU,1588574170,86.0,-14.47,132.27,17,13.87,94
46,tecpan,GT,1588574170,57.11,14.76,-90.99,82,9.17,5
47,najran,SA,1588574170,66.2,17.49,44.13,93,6.93,75
48,kalmunai,LK,1588574171,90.99,7.42,81.82,55,9.95,5
49,asau,RO,1588574172,50.0,46.43,26.4,84,3.18,100
50,san jose,US,1588574172,51.13,37.34,-121.89,53,2.37,0
51,rafraf,TN,1588574172,66.2,37.19,10.18,77,3.36,20
52,severnyy,RU,1588574173,60.8,50.68,36.55,82,11.18,20
53,punta arenas,CL,1588574096,33.8,-53.15,-70.92,85,5.82,20
54,barao de melgaco,BR,1588574174,73.4,-16.19,-55.97,78,8.05,100
55,lompoc,US,1588573948,50.72,34.64,-120.46,81,4.7,1
56,numan,NG,1588574175,86.49,9.47,12.03,61,6.33,86
57,belaya gora,RU,1588574175,26.87,68.53,146.42,96,8.14,100
58,carnarvon,AU,1588574176,82.4,-24.87,113.63,48,6.93,0
