,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
0,punta arenas,CL,1588134847,28.4,-53.15,-70.92,92,5.03,40
1,cayenne,GF,1588134848,75.2,4.93,-52.33,100,8.93,98
2,ourossogui,SN,1588134848,87.8,15.61,-13.32,33,4.7,50
3,wajima,JP,1588134849,64.4,37.4,136.9,48,19.46,7
4,arraial do cabo,BR,1588134849,72.55,-22.97,-42.03,80,9.84,0
5,ushuaia,AR,1588134731,39.2,-54.8,-68.3,86,5.97,74
6,atuona,PF,1588134850,82.26,-9.8,-139.03,73,18.95,43
7,castro,BR,1588134850,55.51,-24.79,-50.01,65,2.51,85
8,makakilo city,US,1588134850,79.23,21.35,-158.09,54,9.17,1
9,dakar,SN,1588134666,68.0,14.69,-17.44,88,24.16,78
10,tuatapere,NZ,1588134851,62.01,-46.13,167.68,63,5.99,100
11,broome,US,1588134852,44.67,42.25,-75.83,52,3.78,75
12,rovaniemi,FI,1588134852,26.6,66.5,25.72,86,9.17,90
13,sistranda,NO,1588134853,39.2,63.73,8.83,64,9.17,75
14,bredasdorp,ZA,1588134853,48.2,-34.53,20.04,93,5.82,0
15,nyurba,RU,1588134854,35.71,63.28,118.33,78,8.21,94
16,east london,ZA,1588134854,59.0,-33.02,27.91,87,9.17,20
17,mabaruma,GY,1588134854,70.05,8.2,-59.78,96,1.86,64
18,bluff,NZ,1588134855,62.01,-46.6,168.33,63,5.99,100
19,kandrian,PG,1588134855,86.22,-6.22,149.55,68,6.82,97
20,ossora,RU,1588134784,31.53,59.24,163.07,96,5.19,100
21,gunjur,GM,1588134856,75.2,13.2,-16.73,57,8.05,5
22,fecamp,FR,1588134857,49.06,49.76,0.37,87,9.17,75
23,coquimbo,CL,1588134857,55.4,-29.95,-71.34,87,3.36,0
24,saint-philippe,RE,1588134858,74.73,-21.36,55.77,64,12.75,90
25,pimampiro,EC,1588134858,58.71,0.4,-77.97,39,4.16,45
26,la ronge,CA,1588134859,41.0,55.1,-105.28,80,9.17,20
27,barrow,US,1588134859,1.4,71.29,-156.79,77,9.17,1
28,san carlos de bariloche,AR,1588134859,46.4,-41.15,-71.31,81,13.87,40
